z_mm,dLETPrimaries,dLETProtons,dLETAll,tLETPrimaries,tLETProtons,tLETAll
6.3325,12.474011771217207,14.165358287032753,37.9791598973154,12.323075217432839,12.532178934694045,12.619223180780242
6.4175,12.49481239251846,14.194721710101406,38.21269589993455,12.346112439370518,12.556287343089615,12.644908008921293
6.5024999999999995,12.506723056943697,14.225947424027554,38.56044032646867,12.362802238138578,12.574599139498655,12.662413110738445
6.5875,12.535824405633443,14.254366591458849,38.11279610542602,12.386656868642723,12.599166243488122,12.687017588229486
6.6725,12.55248135106554,14.274959612685961,38.00618019397978,12.405320170451619,12.618822160752234,12.706303987111973
6.7575,12.574792024947476,14.294334594586863,38.1684155051226,12.426223163708643,12.640612566942975,12.730784268567348
6.8425,12.59666277863245,14.327039644312086,38.9080329786862,12.448663687592687,12.665394414388121,12.75525042950401
6.9275,12.616503421526005,14.377165636528684,38.37484345928428,12.467091625195533,12.685975397285661,12.775723505977568
7.0125,12.637862352380944,14.38009186742984,38.33924769605171,12.490959619717527,12.709367616421302,12.79653770933008
7.0975,12.660779204410913,14.416288230365838,37.88615080085733,12.509956100171035,12.730040272679593,12.818083467737042
7.182500000000001,12.682984435857955,14.43391783703118,38.3779443756439,12.532510566091947,12.753092536621926,12.841638285423368
7.2675,12.699632308514154,14.465849511832875,38.213269255549086,12.553969223176749,12.776052652366332,12.864672988821967
7.352500000000001,12.72486412055314,14.496796419303122,38.51580823270258,12.574477860852697,12.797847840032803,12.88612408179957
7.4375,12.747602765465126,14.532375239688431,38.041987383884575,12.59812854961363,12.822882020764064,12.910800427414104
7.5225,12.76481027194909,14.555674877908459,38.19672900879312,12.617763425541606,12.843616260422534,12.932296892473783
7.6075,12.791603716035318,14.587556217541133,38.63956426331766,12.641698699199399,12.867849430225505,12.957419008219649
7.6925,12.808630910099868,14.600499449209362,38.05849558805239,12.662456981250592,12.889709681317985,12.979491717226702
7.777500000000001,12.833524069383047,14.640699062670247,38.4305892203393,12.68521600511684,12.91370968165325,13.003483346746892
7.8625,12.857441170890208,14.645402545150537,38.41826759790023,12.707951660007472,12.936550689141683,13.024885309712479
